name,tailpipe_co2
Geely EX5 60.22 kWh SUV (2025),0
Geely EX5 60.22 kWh + sunroof + 19 inch wheels SUV (2025),0
Alfa Romeo Junior Elettrica SUV (2025),0
Leapmotor C10 1000 SUV (2025),0
Mercedes-Benz G Class G580 SUV (2025),0
Volkswagen ID. Buzz Cargo VAN SWB 210KW Van (2025),0
Volkswagen ID. Buzz PRO 210KW Van (2025),0
Volkswagen ID. Buzz PRO 210KW Van (2025),0
Volkswagen ID.5 PRO 210KW SUV (2025),0
Volkswagen ID.5 GTX 250KW SUV (2025),0
Volkswagen ID.4 GTX 250KW SUV (2025),0
Volkswagen ID.4 PRO 210KW SUV (2025),0
Cupra Tavascan Endurance 210kW SUV (2025),0
Cupra Tavascan Endurance with Interior Package 210kW SUV (2025),0
Geely EX5 Complete SUV (2025),0
Geely EX5 Inspire SUV (2025),0
BYD SEALION 7 Premium Wagon (2025),0
BYD SEALION 7 Performance Wagon (2025),0
Renault Trafic E-Tech SWB PRO EV52 Van (2025),0
Renault Trafic E-Tech LWB PRO EV52 Van (2025),0
Audi SQ6 e-tron SUV (2025),0
Audi Q6 e-tron Performance SUV (2025),0
Audi Q6 e-tron quattro SUV (2025),0
Tesla Model Y RWD YS6MRB SUV (2025),0
Tesla Model Y AWD YS5LDB SUV (2025),0
Ssangyong Torres EVX Wagon (2025),0
Skoda Elroq 210KW SELECT SUV (2025),0
Skoda Elroq 210KW SPORTLINE SUV (2025),0
Skoda Enyaq Coupe SportLine SUV (2025),0
Skoda Enyaq Coupe RS SUV (2025),0
Porsche Taycan GTS Coupe (2025),0
MG IM IM6 100kWh EV 4WD Hatch (2025),0
MG IM IM6 75kWh EV RWD Lux Hatch (2025),0
MG MGS5 EV  49kWh EV RWD Excite SUV (2025),0
MG IM IM5 100kWh EV RWD Hatch (2025),0
MG IM IM6 100kWh EV 4WD Lux Hatch (2025),0
MG MGS5 EV  62kWh EV RWD Excite SUV (2025),0
Kia EV3 Air LR SUV (2025),0
Kia EV3 Air SR SUV (2025),0
Kia EV3 Earth LR SUV (2025),0
Kia EV3 GT-Line LR SUV (2025),0
MG IM IM5 100kWh EV 4WD Lux Hatch (2025),0
MG IM IM6 100kWh EV RWD Lux Hatch (2025),0
MG IM IM5 100kWh EV RWD Lux Hatch (2025),0
MG IM IM5 75kWh EV RWD Hatch (2025),0
MG IM IM6 100kWh EV RWD Hatch (2025),0
MG IM IM5 100kWh EV 4WD Hatch (2025),0
MG MGS5 EV  49kWh EV RWD Essence SUV (2025),0
MG IM IM6 75kWh EV RWD Hatch (2025),0
MG MGS5 EV  62kWh EV RWD Essence SUV (2025),0
MG IM IM5 75kWh EV RWD Lux Hatch (2025),0
Volvo EX90 Twin  SUV (2025),0
Volvo EX90 Twin Performance SUV (2025),0
